Date,Platform,Content,Location
2024-06-23,X,This government is corrupt. Boycott on 23/06 at Parliament. #OneTermPresident,Parliament
2024-06-11,TikTok,Strike on June 11 in Mombasa. We are fed up #RutoMustGo,Mombasa
2024-07-19,TikTok,No justice no peace. Boycott on 19/07 at Parliament. #OccupyParliament,Parliament
2024-07-28,X,March on July 28 in Kisumu. No justice no peace #YouthPower,Kisumu
2024-07-31,Instagram,#YouthPower – boycott at Mombasa urgent,Mombasa
2024-07-03,Instagram,This government is corrupt – happening now! at Mombasa! #GenZRevolution,Mombasa
2024-07-31,X,This government is corrupt. Protest on 31/07 at Uhuru Park. #OneTermPresident,Uhuru Park
2024-06-02,Instagram,Strike on June 02 in Mombasa. This government is corrupt #SaveKenya,Mombasa
2024-07-31,Instagram,We are fed up – happening act fast at Uhuru Park! #RejectFinanceBill2024,Uhuru Park
2024-07-29,TikTok,We are fed up. Boycott on 29/07 at Uhuru Park. #OneTermPresident,Uhuru Park
2024-07-08,X,Boycott on July 08 in Kisumu. We are fed up #KenyaProtests,Kisumu
2024-06-23,Instagram,Gen Z rising again! Meet at Nairobi for a protest. #YouthPower,Nairobi
2024-06-14,Instagram,No justice no peace – happening immediately at Kisumu! #OccupyParliament,Kisumu
2024-06-06,Instagram,They brutalized our people – happening act fast at Nairobi! #RejectFinanceBill2024,Nairobi
2024-07-06,Instagram,Gen Z rising again! Meet at Kisumu for a protest. #SaveKenya,Kisumu
2024-06-03,Instagram,#SaveKenya – gather at Kisumu act fast,Kisumu
2024-07-18,TikTok,Protest on July 18 in Kisumu. This government is corrupt #OccupyParliament,Kisumu
2024-07-16,TikTok,Gen Z rising again! Meet at Kisumu for a boycott. #SaveKenya,Kisumu
2024-07-19,X,This government is corrupt – happening act fast at Parliament! #YouthPower,Parliament
2024-07-03,X,March on July 03 in Kisumu. This government is corrupt #YouthPower,Kisumu
2024-06-22,TikTok,Boycott on June 22 in Uhuru Park. This government is corrupt #RutoMustGo,Uhuru Park
2024-06-09,TikTok,This government is corrupt. Boycott on 09/06 at Parliament. #SaveKenya,Parliament
2024-06-29,X,#KenyaProtests – boycott at Nairobi urgent,Nairobi
2024-07-31,TikTok,We are fed up. Gather on 31/07 at Parliament. #RutoMustGo,Parliament
2024-06-25,X,Gen Z rising again! Meet at Mombasa for a strike. #RutoMustGo,Mombasa
2024-07-29,Instagram,No justice no peace – happening now! at Parliament! #RejectFinanceBill2024,Parliament
2024-07-02,TikTok,Gen Z rising again! Meet at Mombasa for a gather. #SaveKenya,Mombasa
2024-07-11,X,March on July 11 in Uhuru Park. We are fed up #KenyaProtests,Uhuru Park
2024-06-22,X,They brutalized our people. Boycott on 22/06 at Parliament. #OccupyParliament,Parliament
2024-06-22,TikTok,Gen Z rising again! Meet at Uhuru Park for a march. #RejectFinanceBill2024,Uhuru Park
2024-07-11,TikTok,No justice no peace. Gather on 11/07 at Uhuru Park. #GenZRevolution,Uhuru Park
2024-06-05,TikTok,This government is corrupt – happening act fast at Uhuru Park! #GenZRevolution,Uhuru Park
2024-07-21,X,We are fed up. Strike on 21/07 at Nairobi. #RutoMustGo,Nairobi
2024-07-18,X,No justice no peace. March on 18/07 at Mombasa. #RutoMustGo,Mombasa
2024-07-10,X,They brutalized our people. Gather on 10/07 at Mombasa. #KenyaProtests,Mombasa
2024-07-12,X,They brutalized our people. Protest on 12/07 at Nairobi. #OneTermPresident,Nairobi
2024-06-15,TikTok,Protest on June 15 in Mombasa. They brutalized our people #KenyaProtests,Mombasa
2024-07-08,X,Protest on July 08 in Kisumu. They brutalized our people #GenZRevolution,Kisumu
2024-07-09,TikTok,Gather on July 09 in Parliament. They brutalized our people #SaveKenya,Parliament
2024-07-05,X,They brutalized our people. Protest on 05/07 at Mombasa. #GenZRevolution,Mombasa
2024-06-13,Instagram,#YouthPower – boycott at Nairobi now!,Nairobi
2024-07-06,Instagram,They brutalized our people – happening immediately at Kisumu! #GenZRevolution,Kisumu
2024-07-11,Instagram,They brutalized our people. Boycott on 11/07 at Uhuru Park. #SaveKenya,Uhuru Park
2024-07-25,X,Gen Z rising again! Meet at Parliament for a protest. #GenZRevolution,Parliament
2024-06-16,X,Gen Z rising again! Meet at Mombasa for a march. #OneTermPresident,Mombasa
2024-06-06,TikTok,We are fed up – happening urgent at Uhuru Park! #OccupyParliament,Uhuru Park
2024-07-29,TikTok,#GenZRevolution – protest at Uhuru Park urgent,Uhuru Park
2024-06-08,Instagram,Gen Z rising again! Meet at Nairobi for a gather. #GenZRevolution,Nairobi
2024-07-12,X,This government is corrupt. Boycott on 12/07 at Nairobi. #RejectFinanceBill2024,Nairobi
2024-06-25,TikTok,Gen Z rising again! Meet at Nairobi for a strike. #SaveKenya,Nairobi
2024-06-17,TikTok,#RutoMustGo – gather at Kisumu act fast,Kisumu
2024-07-05,TikTok,Boycott on July 05 in Mombasa. We are fed up #GenZRevolution,Mombasa
2024-07-09,Instagram,We are fed up. Boycott on 09/07 at Parliament. #SaveKenya,Parliament
2024-06-27,Instagram,They brutalized our people – happening act fast at Parliament! #KenyaProtests,Parliament
2024-06-04,TikTok,#KenyaProtests – protest at Kisumu immediately,Kisumu
2024-07-14,Instagram,No justice no peace. March on 14/07 at Uhuru Park. #RutoMustGo,Uhuru Park
2024-06-25,X,March on June 25 in Nairobi. We are fed up #KenyaProtests,Nairobi
2024-07-21,X,They brutalized our people – happening act fast at Mombasa! #OccupyParliament,Mombasa
2024-07-07,TikTok,Gen Z rising again! Meet at Nairobi for a boycott. #OneTermPresident,Nairobi
2024-07-15,X,This government is corrupt. Gather on 15/07 at Parliament. #OccupyParliament,Parliament
2024-06-27,Instagram,They brutalized our people – happening immediately at Uhuru Park! #YouthPower,Uhuru Park
2024-07-27,TikTok,We are fed up – happening urgent at Mombasa! #OccupyParliament,Mombasa
2024-06-03,Instagram,This government is corrupt. Strike on 03/06 at Kisumu. #YouthPower,Kisumu
2024-07-31,X,No justice no peace – happening now! at Nairobi! #OneTermPresident,Nairobi
2024-07-09,X,No justice no peace. March on 09/07 at Uhuru Park. #RutoMustGo,Uhuru Park
2024-06-20,Instagram,This government is corrupt – happening now! at Nairobi! #OneTermPresident,Nairobi
2024-07-05,Instagram,This government is corrupt – happening immediately at Mombasa! #RutoMustGo,Mombasa
2024-07-10,X,Gen Z rising again! Meet at Nairobi for a protest. #OneTermPresident,Nairobi
2024-07-14,TikTok,No justice no peace. Boycott on 14/07 at Nairobi. #RejectFinanceBill2024,Nairobi
2024-07-24,Instagram,#KenyaProtests – strike at Nairobi now!,Nairobi
2024-07-21,Instagram,#OccupyParliament – gather at Nairobi act fast,Nairobi
2024-07-17,X,#RutoMustGo – strike at Nairobi act fast,Nairobi
2024-06-29,TikTok,Protest on June 29 in Kisumu. This government is corrupt #KenyaProtests,Kisumu
2024-06-11,TikTok,Strike on June 11 in Uhuru Park. No justice no peace #OccupyParliament,Uhuru Park
2024-06-11,TikTok,Gen Z rising again! Meet at Mombasa for a march. #RutoMustGo,Mombasa
2024-07-20,X,#SaveKenya – gather at Mombasa act fast,Mombasa
2024-06-28,TikTok,They brutalized our people – happening urgent at Parliament! #OccupyParliament,Parliament
2024-07-16,Instagram,This government is corrupt – happening act fast at Mombasa! #RutoMustGo,Mombasa
2024-06-03,X,No justice no peace. Protest on 03/06 at Nairobi. #RutoMustGo,Nairobi
2024-06-27,X,#OccupyParliament – protest at Nairobi act fast,Nairobi
2024-07-05,Instagram,#RejectFinanceBill2024 – protest at Kisumu now!,Kisumu
2024-06-09,X,We are fed up – happening urgent at Kisumu! #YouthPower,Kisumu
2024-06-04,TikTok,Strike on June 04 in Parliament. They brutalized our people #KenyaProtests,Parliament
2024-07-08,Instagram,This government is corrupt – happening immediately at Nairobi! #KenyaProtests,Nairobi
2024-06-15,Instagram,#RutoMustGo – boycott at Kisumu immediately,Kisumu
2024-07-14,X,We are fed up. Boycott on 14/07 at Parliament. #YouthPower,Parliament
2024-06-14,X,We are fed up – happening now! at Nairobi! #SaveKenya,Nairobi
2024-07-10,TikTok,Gen Z rising again! Meet at Nairobi for a protest. #OneTermPresident,Nairobi
2024-07-25,Instagram,We are fed up. Protest on 25/07 at Nairobi. #SaveKenya,Nairobi
2024-07-30,TikTok,We are fed up. March on 30/07 at Mombasa. #RejectFinanceBill2024,Mombasa
2024-06-25,X,#YouthPower – protest at Nairobi urgent,Nairobi
2024-06-25,Instagram,Gen Z rising again! Meet at Nairobi for a protest. #SaveKenya,Nairobi
2024-06-04,X,#YouthPower – boycott at Nairobi immediately,Nairobi
2024-06-29,X,Gen Z rising again! Meet at Mombasa for a march. #SaveKenya,Mombasa
2024-06-05,TikTok,Gen Z rising again! Meet at Parliament for a march. #OneTermPresident,Parliament
2024-07-11,TikTok,This government is corrupt – happening immediately at Kisumu! #SaveKenya,Kisumu
2024-07-25,TikTok,#RejectFinanceBill2024 – boycott at Kisumu urgent,Kisumu
2024-06-09,X,They brutalized our people. Boycott on 09/06 at Uhuru Park. #OneTermPresident,Uhuru Park
2024-07-23,X,Gather on July 23 in Nairobi. This government is corrupt #KenyaProtests,Nairobi
2024-06-04,X,We are fed up – happening act fast at Kisumu! #SaveKenya,Kisumu
2024-07-02,X,Protest on July 02 in Parliament. This government is corrupt #OccupyParliament,Parliament
2024-06-01,X,This government is corrupt – happening immediately at Mombasa! #YouthPower,Mombasa
2024-06-16,TikTok,Boycott on June 16 in Mombasa. We are fed up #YouthPower,Mombasa
2024-07-06,Instagram,#OccupyParliament – boycott at Parliament act fast,Parliament
2024-06-11,Instagram,They brutalized our people. Strike on 11/06 at Parliament. #SaveKenya,Parliament
2024-06-08,Instagram,#OccupyParliament – boycott at Mombasa immediately,Mombasa
2024-06-09,TikTok,We are fed up. Gather on 09/06 at Nairobi. #RutoMustGo,Nairobi
2024-07-29,Instagram,We are fed up. Protest on 29/07 at Nairobi. #KenyaProtests,Nairobi
2024-06-03,Instagram,This government is corrupt – happening now! at Parliament! #RejectFinanceBill2024,Parliament
2024-06-11,TikTok,Gen Z rising again! Meet at Mombasa for a march. #RutoMustGo,Mombasa
2024-06-21,TikTok,Gen Z rising again! Meet at Mombasa for a march. #GenZRevolution,Mombasa
2024-06-13,Instagram,We are fed up – happening now! at Kisumu! #RutoMustGo,Kisumu
2024-07-28,TikTok,Gather on July 28 in Nairobi. This government is corrupt #SaveKenya,Nairobi
2024-06-08,Instagram,No justice no peace. Protest on 08/06 at Uhuru Park. #OccupyParliament,Uhuru Park
2024-07-15,X,Gather on July 15 in Parliament. This government is corrupt #YouthPower,Parliament
2024-07-01,Instagram,#OccupyParliament – gather at Mombasa urgent,Mombasa
2024-06-03,TikTok,No justice no peace. Boycott on 03/06 at Kisumu. #KenyaProtests,Kisumu
2024-07-05,TikTok,They brutalized our people – happening act fast at Uhuru Park! #SaveKenya,Uhuru Park
2024-07-25,TikTok,#KenyaProtests – protest at Mombasa urgent,Mombasa
2024-06-24,X,Boycott on June 24 in Kisumu. This government is corrupt #OccupyParliament,Kisumu
2024-06-30,X,No justice no peace. Gather on 30/06 at Mombasa. #OccupyParliament,Mombasa
2024-06-01,X,No justice no peace – happening urgent at Nairobi! #RejectFinanceBill2024,Nairobi
2024-07-14,Instagram,They brutalized our people – happening act fast at Mombasa! #RutoMustGo,Mombasa
2024-07-27,X,March on July 27 in Nairobi. They brutalized our people #GenZRevolution,Nairobi
2024-07-19,TikTok,#OccupyParliament – strike at Uhuru Park urgent,Uhuru Park
2024-06-03,TikTok,Gen Z rising again! Meet at Uhuru Park for a gather. #OneTermPresident,Uhuru Park
2024-07-18,Instagram,#OneTermPresident – march at Mombasa now!,Mombasa
2024-07-17,X,Gen Z rising again! Meet at Kisumu for a protest. #RejectFinanceBill2024,Kisumu
2024-06-28,Instagram,Boycott on June 28 in Uhuru Park. We are fed up #SaveKenya,Uhuru Park
2024-06-27,TikTok,Strike on June 27 in Mombasa. They brutalized our people #RutoMustGo,Mombasa
2024-07-10,TikTok,This government is corrupt. Gather on 10/07 at Uhuru Park. #GenZRevolution,Uhuru Park
2024-06-28,Instagram,Gen Z rising again! Meet at Nairobi for a gather. #KenyaProtests,Nairobi
2024-07-14,TikTok,Gen Z rising again! Meet at Nairobi for a gather. #RutoMustGo,Nairobi
2024-07-27,Instagram,Gen Z rising again! Meet at Kisumu for a march. #OccupyParliament,Kisumu
2024-07-15,Instagram,Gen Z rising again! Meet at Uhuru Park for a boycott. #OccupyParliament,Uhuru Park
2024-06-24,TikTok,Gen Z rising again! Meet at Uhuru Park for a gather. #YouthPower,Uhuru Park
2024-06-05,X,#YouthPower – gather at Parliament act fast,Parliament
2024-07-12,X,Gen Z rising again! Meet at Nairobi for a strike. #RejectFinanceBill2024,Nairobi
2024-06-10,Instagram,We are fed up. March on 10/06 at Kisumu. #GenZRevolution,Kisumu
2024-06-28,X,We are fed up – happening immediately at Mombasa! #SaveKenya,Mombasa
2024-06-26,X,Gen Z rising again! Meet at Parliament for a march. #OneTermPresident,Parliament
2024-07-06,X,Gen Z rising again! Meet at Nairobi for a strike. #GenZRevolution,Nairobi
2024-06-05,X,Gen Z rising again! Meet at Mombasa for a boycott. #GenZRevolution,Mombasa
2024-06-18,Instagram,This government is corrupt – happening now! at Mombasa! #RejectFinanceBill2024,Mombasa
2024-06-10,X,#KenyaProtests – gather at Kisumu act fast,Kisumu
2024-06-06,Instagram,Gen Z rising again! Meet at Mombasa for a march. #YouthPower,Mombasa
2024-07-30,TikTok,#SaveKenya – boycott at Uhuru Park act fast,Uhuru Park
2024-06-01,X,Protest on June 01 in Kisumu. We are fed up #RutoMustGo,Kisumu
2024-07-03,TikTok,We are fed up – happening act fast at Kisumu! #YouthPower,Kisumu
2024-07-28,X,We are fed up – happening urgent at Nairobi! #RejectFinanceBill2024,Nairobi
2024-06-09,Instagram,#SaveKenya – strike at Mombasa act fast,Mombasa
2024-07-28,Instagram,Gen Z rising again! Meet at Kisumu for a strike. #SaveKenya,Kisumu
2024-06-22,X,Gather on June 22 in Parliament. This government is corrupt #KenyaProtests,Parliament
2024-07-30,X,#YouthPower – strike at Mombasa urgent,Mombasa
2024-06-18,X,We are fed up. Protest on 18/06 at Parliament. #RejectFinanceBill2024,Parliament
2024-06-01,Instagram,Boycott on June 01 in Parliament. They brutalized our people #KenyaProtests,Parliament
2024-07-11,TikTok,No justice no peace. March on 11/07 at Mombasa. #KenyaProtests,Mombasa
2024-07-17,X,This government is corrupt. Gather on 17/07 at Parliament. #RutoMustGo,Parliament
2024-06-16,TikTok,This government is corrupt – happening now! at Nairobi! #KenyaProtests,Nairobi
2024-06-01,X,Strike on June 01 in Uhuru Park. They brutalized our people #GenZRevolution,Uhuru Park
2024-06-16,X,#RutoMustGo – gather at Nairobi immediately,Nairobi
2024-06-16,X,March on June 16 in Uhuru Park. No justice no peace #RejectFinanceBill2024,Uhuru Park
2024-07-22,TikTok,They brutalized our people. Gather on 22/07 at Uhuru Park. #SaveKenya,Uhuru Park
2024-06-07,TikTok,Boycott on June 07 in Mombasa. They brutalized our people #YouthPower,Mombasa
2024-07-11,X,Gen Z rising again! Meet at Kisumu for a march. #SaveKenya,Kisumu
2024-07-10,Instagram,Protest on July 10 in Mombasa. We are fed up #SaveKenya,Mombasa
2024-06-01,X,#GenZRevolution – strike at Mombasa now!,Mombasa
2024-07-04,TikTok,No justice no peace. Boycott on 04/07 at Uhuru Park. #RutoMustGo,Uhuru Park
2024-07-11,X,Protest on July 11 in Mombasa. They brutalized our people #RejectFinanceBill2024,Mombasa
2024-07-12,TikTok,Strike on July 12 in Kisumu. No justice no peace #KenyaProtests,Kisumu
2024-07-14,X,Gen Z rising again! Meet at Parliament for a protest. #OccupyParliament,Parliament
2024-06-13,Instagram,#KenyaProtests – strike at Kisumu urgent,Kisumu
2024-06-13,X,Gen Z rising again! Meet at Nairobi for a boycott. #RejectFinanceBill2024,Nairobi
2024-07-26,TikTok,No justice no peace – happening urgent at Kisumu! #RutoMustGo,Kisumu
2024-07-10,X,This government is corrupt. March on 10/07 at Nairobi. #SaveKenya,Nairobi
2024-07-19,X,No justice no peace – happening immediately at Kisumu! #GenZRevolution,Kisumu
2024-07-01,TikTok,Strike on July 01 in Parliament. This government is corrupt #RejectFinanceBill2024,Parliament
2024-06-27,X,March on June 27 in Parliament. They brutalized our people #KenyaProtests,Parliament
2024-07-05,Instagram,#GenZRevolution – protest at Parliament immediately,Parliament
2024-06-12,Instagram,#OneTermPresident – strike at Mombasa immediately,Mombasa
2024-07-30,TikTok,We are fed up – happening act fast at Uhuru Park! #RejectFinanceBill2024,Uhuru Park
2024-06-26,Instagram,#RutoMustGo – gather at Uhuru Park now!,Uhuru Park
2024-06-16,X,We are fed up – happening urgent at Mombasa! #GenZRevolution,Mombasa
2024-07-13,X,March on July 13 in Kisumu. No justice no peace #RejectFinanceBill2024,Kisumu
2024-07-14,Instagram,Gen Z rising again! Meet at Mombasa for a gather. #RejectFinanceBill2024,Mombasa
2024-06-30,Instagram,#RejectFinanceBill2024 – strike at Parliament immediately,Parliament
2024-06-18,Instagram,Boycott on June 18 in Kisumu. We are fed up #RutoMustGo,Kisumu
2024-06-25,TikTok,#OccupyParliament – strike at Mombasa act fast,Mombasa
2024-07-12,TikTok,#OneTermPresident – boycott at Kisumu now!,Kisumu
2024-07-24,TikTok,Gen Z rising again! Meet at Nairobi for a protest. #SaveKenya,Nairobi
2024-07-13,Instagram,They brutalized our people. March on 13/07 at Uhuru Park. #YouthPower,Uhuru Park
2024-07-20,Instagram,They brutalized our people. Strike on 20/07 at Uhuru Park. #OneTermPresident,Uhuru Park
2024-06-12,TikTok,March on June 12 in Parliament. They brutalized our people #OneTermPresident,Parliament
2024-06-11,X,They brutalized our people – happening urgent at Uhuru Park! #RutoMustGo,Uhuru Park
2024-06-27,X,March on June 27 in Uhuru Park. We are fed up #OccupyParliament,Uhuru Park
2024-06-28,X,Boycott on June 28 in Kisumu. No justice no peace #GenZRevolution,Kisumu
2024-07-20,Instagram,We are fed up. Boycott on 20/07 at Uhuru Park. #RutoMustGo,Uhuru Park
2024-07-23,Instagram,This government is corrupt. Protest on 23/07 at Nairobi. #OccupyParliament,Nairobi
2024-06-04,X,We are fed up. March on 04/06 at Parliament. #OneTermPresident,Parliament
2024-06-06,X,Gen Z rising again! Meet at Uhuru Park for a march. #RutoMustGo,Uhuru Park
2024-07-03,Instagram,Gen Z rising again! Meet at Nairobi for a gather. #OneTermPresident,Nairobi
2024-06-15,X,Gather on June 15 in Mombasa. We are fed up #RejectFinanceBill2024,Mombasa
2024-06-29,TikTok,#YouthPower – gather at Nairobi now!,Nairobi
2024-07-24,X,This government is corrupt. Protest on 24/07 at Kisumu. #OccupyParliament,Kisumu
2024-06-19,X,#RutoMustGo – gather at Nairobi immediately,Nairobi
2024-07-25,X,Gen Z rising again! Meet at Uhuru Park for a gather. #RutoMustGo,Uhuru Park
2024-06-16,TikTok,Gen Z rising again! Meet at Kisumu for a protest. #RejectFinanceBill2024,Kisumu
2024-06-15,Instagram,We are fed up. Strike on 15/06 at Kisumu. #SaveKenya,Kisumu
2024-07-26,X,This government is corrupt. March on 26/07 at Mombasa. #KenyaProtests,Mombasa
2024-06-28,Instagram,Gather on June 28 in Kisumu. No justice no peace #RutoMustGo,Kisumu
2024-07-11,TikTok,No justice no peace – happening now! at Parliament! #KenyaProtests,Parliament
2024-07-30,X,We are fed up – happening immediately at Kisumu! #OccupyParliament,Kisumu
2024-06-06,Instagram,No justice no peace – happening act fast at Uhuru Park! #RejectFinanceBill2024,Uhuru Park
2024-07-10,Instagram,No justice no peace – happening act fast at Parliament! #OneTermPresident,Parliament
2024-07-05,Instagram,March on July 05 in Uhuru Park. No justice no peace #KenyaProtests,Uhuru Park
2024-07-21,Instagram,Gen Z rising again! Meet at Mombasa for a protest. #KenyaProtests,Mombasa
2024-07-31,X,#KenyaProtests – march at Nairobi urgent,Nairobi
2024-06-06,X,No justice no peace. Boycott on 06/06 at Nairobi. #RejectFinanceBill2024,Nairobi
2024-06-30,TikTok,#OneTermPresident – march at Mombasa immediately,Mombasa
2024-07-03,TikTok,We are fed up. Gather on 03/07 at Nairobi. #GenZRevolution,Nairobi
2024-06-04,Instagram,#OccupyParliament – march at Nairobi immediately,Nairobi
2024-07-28,Instagram,Gen Z rising again! Meet at Kisumu for a boycott. #OccupyParliament,Kisumu
2024-06-16,TikTok,Gen Z rising again! Meet at Uhuru Park for a boycott. #OccupyParliament,Uhuru Park
2024-07-22,X,Boycott on July 22 in Mombasa. This government is corrupt #KenyaProtests,Mombasa
2024-07-18,TikTok,This government is corrupt. Gather on 18/07 at Kisumu. #RutoMustGo,Kisumu
2024-07-22,X,They brutalized our people. Strike on 22/07 at Uhuru Park. #RutoMustGo,Uhuru Park
2024-06-04,TikTok,March on June 04 in Mombasa. No justice no peace #YouthPower,Mombasa
2024-06-22,TikTok,Protest on June 22 in Parliament. We are fed up #OneTermPresident,Parliament
2024-06-11,X,Gen Z rising again! Meet at Nairobi for a boycott. #SaveKenya,Nairobi
2024-06-07,TikTok,Gen Z rising again! Meet at Parliament for a march. #GenZRevolution,Parliament
2024-06-20,Instagram,#GenZRevolution – boycott at Uhuru Park urgent,Uhuru Park
2024-06-21,Instagram,This government is corrupt. Boycott on 21/06 at Nairobi. #GenZRevolution,Nairobi
2024-06-07,TikTok,#OneTermPresident – boycott at Parliament act fast,Parliament
2024-07-18,TikTok,#RejectFinanceBill2024 – protest at Nairobi urgent,Nairobi
2024-06-13,X,Gather on June 13 in Nairobi. This government is corrupt #RejectFinanceBill2024,Nairobi
2024-07-15,Instagram,#KenyaProtests – strike at Parliament immediately,Parliament
2024-07-11,X,This government is corrupt. Gather on 11/07 at Parliament. #SaveKenya,Parliament
2024-06-05,Instagram,March on June 05 in Nairobi. They brutalized our people #KenyaProtests,Nairobi
2024-07-11,TikTok,No justice no peace – happening urgent at Uhuru Park! #RutoMustGo,Uhuru Park
2024-07-27,X,This government is corrupt. Boycott on 27/07 at Kisumu. #SaveKenya,Kisumu
2024-07-31,Instagram,March on July 31 in Parliament. They brutalized our people #OneTermPresident,Parliament
2024-06-18,X,Protest on June 18 in Kisumu. No justice no peace #OneTermPresident,Kisumu
2024-07-26,Instagram,#KenyaProtests – strike at Nairobi act fast,Nairobi
2024-07-20,Instagram,No justice no peace – happening immediately at Parliament! #GenZRevolution,Parliament
2024-07-12,TikTok,This government is corrupt – happening immediately at Uhuru Park! #RejectFinanceBill2024,Uhuru Park
2024-07-06,X,#GenZRevolution – gather at Kisumu act fast,Kisumu
2024-06-03,Instagram,We are fed up – happening now! at Kisumu! #OccupyParliament,Kisumu
2024-06-01,TikTok,We are fed up – happening now! at Mombasa! #YouthPower,Mombasa
2024-06-08,X,This government is corrupt. Boycott on 08/06 at Nairobi. #SaveKenya,Nairobi
2024-06-11,X,Gen Z rising again! Meet at Mombasa for a gather. #OccupyParliament,Mombasa
2024-06-26,X,Gen Z rising again! Meet at Kisumu for a gather. #OccupyParliament,Kisumu
2024-06-05,X,Gen Z rising again! Meet at Kisumu for a protest. #SaveKenya,Kisumu
2024-06-17,Instagram,They brutalized our people – happening act fast at Uhuru Park! #GenZRevolution,Uhuru Park
2024-07-15,TikTok,No justice no peace – happening urgent at Uhuru Park! #YouthPower,Uhuru Park
2024-06-21,X,Gather on June 21 in Nairobi. We are fed up #OneTermPresident,Nairobi
2024-07-30,X,Protest on July 30 in Kisumu. We are fed up #OccupyParliament,Kisumu
2024-06-17,Instagram,They brutalized our people. Protest on 17/06 at Uhuru Park. #KenyaProtests,Uhuru Park
2024-06-29,TikTok,We are fed up – happening immediately at Uhuru Park! #YouthPower,Uhuru Park
2024-06-16,X,Boycott on June 16 in Uhuru Park. No justice no peace #SaveKenya,Uhuru Park
2024-07-16,X,We are fed up. March on 16/07 at Parliament. #KenyaProtests,Parliament
2024-06-09,X,No justice no peace – happening now! at Nairobi! #GenZRevolution,Nairobi
2024-06-23,Instagram,Gen Z rising again! Meet at Parliament for a march. #SaveKenya,Parliament
2024-07-16,TikTok,This government is corrupt. March on 16/07 at Kisumu. #KenyaProtests,Kisumu
2024-06-22,Instagram,Gen Z rising again! Meet at Nairobi for a gather. #KenyaProtests,Nairobi
2024-07-31,TikTok,They brutalized our people – happening urgent at Mombasa! #OccupyParliament,Mombasa
2024-06-18,TikTok,#RejectFinanceBill2024 – strike at Parliament act fast,Parliament
2024-06-01,TikTok,#RutoMustGo – boycott at Nairobi act fast,Nairobi
2024-07-14,X,#RutoMustGo – boycott at Parliament immediately,Parliament
2024-06-06,X,#RutoMustGo – strike at Mombasa now!,Mombasa
2024-07-05,Instagram,No justice no peace – happening act fast at Kisumu! #GenZRevolution,Kisumu
2024-06-17,Instagram,Gather on June 17 in Parliament. They brutalized our people #SaveKenya,Parliament
2024-06-21,X,This government is corrupt. March on 21/06 at Kisumu. #OneTermPresident,Kisumu
2024-07-27,X,They brutalized our people. Protest on 27/07 at Mombasa. #RutoMustGo,Mombasa
2024-07-12,Instagram,This government is corrupt – happening now! at Parliament! #RutoMustGo,Parliament
2024-07-04,X,Strike on July 04 in Nairobi. No justice no peace #OneTermPresident,Nairobi
2024-06-07,TikTok,Strike on June 07 in Nairobi. This government is corrupt #OccupyParliament,Nairobi
2024-07-09,TikTok,They brutalized our people – happening now! at Uhuru Park! #RutoMustGo,Uhuru Park
2024-07-20,Instagram,We are fed up. Protest on 20/07 at Uhuru Park. #OneTermPresident,Uhuru Park
2024-07-17,X,Gen Z rising again! Meet at Kisumu for a protest. #OccupyParliament,Kisumu
2024-07-06,Instagram,They brutalized our people. Strike on 06/07 at Mombasa. #OneTermPresident,Mombasa
2024-06-03,X,#OccupyParliament – protest at Uhuru Park act fast,Uhuru Park
2024-07-03,X,They brutalized our people. Protest on 03/07 at Uhuru Park. #YouthPower,Uhuru Park
2024-07-13,X,We are fed up – happening now! at Nairobi! #SaveKenya,Nairobi
2024-07-10,X,Strike on July 10 in Uhuru Park. No justice no peace #OccupyParliament,Uhuru Park
2024-06-08,X,No justice no peace. Gather on 08/06 at Mombasa. #RejectFinanceBill2024,Mombasa
2024-06-21,TikTok,We are fed up – happening urgent at Nairobi! #OccupyParliament,Nairobi
2024-06-27,TikTok,#YouthPower – gather at Parliament act fast,Parliament
2024-07-07,X,We are fed up. March on 07/07 at Uhuru Park. #KenyaProtests,Uhuru Park
2024-06-16,X,They brutalized our people – happening now! at Uhuru Park! #RutoMustGo,Uhuru Park
2024-06-13,TikTok,Gen Z rising again! Meet at Kisumu for a strike. #RejectFinanceBill2024,Kisumu
2024-07-07,X,We are fed up. Boycott on 07/07 at Parliament. #RutoMustGo,Parliament
2024-06-04,TikTok,Gen Z rising again! Meet at Kisumu for a boycott. #OccupyParliament,Kisumu
2024-06-10,X,Gather on June 10 in Kisumu. We are fed up #OneTermPresident,Kisumu
2024-07-08,TikTok,Gen Z rising again! Meet at Uhuru Park for a gather. #SaveKenya,Uhuru Park
2024-07-24,Instagram,#RejectFinanceBill2024 – protest at Nairobi immediately,Nairobi
2024-07-25,Instagram,#SaveKenya – gather at Nairobi immediately,Nairobi
2024-06-27,Instagram,This government is corrupt – happening immediately at Kisumu! #RejectFinanceBill2024,Kisumu
2024-06-07,X,We are fed up. Boycott on 07/06 at Uhuru Park. #RutoMustGo,Uhuru Park
2024-07-27,X,Gen Z rising again! Meet at Mombasa for a gather. #OneTermPresident,Mombasa
2024-06-26,X,We are fed up – happening immediately at Mombasa! #KenyaProtests,Mombasa
2024-06-10,TikTok,No justice no peace. Protest on 10/06 at Uhuru Park. #OccupyParliament,Uhuru Park
2024-07-01,TikTok,#OccupyParliament – strike at Uhuru Park act fast,Uhuru Park
2024-06-30,TikTok,#OneTermPresident – strike at Nairobi now!,Nairobi
